producto_id,nombre,categoria,precio,coste,stock,activo
1,Zapatillas Eco 1,Electronica,110.92,64.83,269,True
2,Altavoz Basic 2,Ropa,57.55,33.75,230,True
3,Manual Plus 3,Juguetes,85.05,53.27,481,True
4,Batidora Max 4,Ropa,68.33,50.68,422,True
5,Teclado Eco 5,Hogar,393.24,256.91,300,True
6,Tablet Plus 6,Alimentacion,2.28,1.74,447,True
7,Sudadera Ultra 7,Hogar,351.08,276.4,164,True
8,Puzzle Classic 8,Electronica,245.38,139.59,56,True
9,Zapatillas Max 9,Ropa,37.08,26.98,280,False
10,Batidora Ultra 10,Electronica,816.04,466.22,31,True
11,Cafetera Basic 11,Libros,52.93,30.06,471,True
12,Raqueta Basic 12,Deportes,257.24,159.22,60,True
13,Cafetera Pro 13,Alimentacion,12.45,7.16,428,True
14,Sudadera Classic 14,Hogar,166.65,119.28,335,True
15,Manual Plus 15,Hogar,46.79,34.11,123,True
16,Raqueta Ultra 16,Libros,51.1,36.27,266,True
17,Camiseta Eco 17,Libros,55.34,38.4,271,True
18,Tablet Basic 18,Ropa,103.96,77.48,368,True
19,Sudadera Basic 19,Alimentacion,18.34,13.63,213,True
20,Mochila Mini 20,Juguetes,76.4,58.64,296,True
21,Teclado Mini 21,Libros,35.35,25.57,207,True
22,Manual Eco 22,Juguetes,12.83,8.2,47,True
23,Novela Plus 23,Deportes,245.74,167.39,355,True
24,Balon Max 24,Deportes,399.24,268.55,128,False
25,Puzzle Mini 25,Deportes,510.96,294.81,139,True
26,Teclado Basic 26,Juguetes,47.56,35.81,165,True
27,Sudadera Pro 27,Electronica,1237.94,963.38,283,True
28,Lampara Plus 28,Electronica,1147.53,913.55,353,True
29,Silla Basic 29,Deportes,558.65,341.89,407,True
30,Puzzle Basic 30,Libros,59.42,34.1,298,True
31,Cafetera Max 31,Hogar,26.28,15.18,198,True
32,Auriculares Mini 32,Libros,29.06,21.83,473,True
33,Puzzle Ultra 33,Electronica,1171.66,829.46,237,True
34,Monitor Plus 34,Hogar,331.03,244.64,72,True
35,Manual Max 35,Deportes,63.47,49.27,400,True
36,Zapatillas Max 36,Electronica,929.56,563.84,469,True
37,Mochila Max 37,Libros,54.41,34.88,145,True
38,Cafetera Classic 38,Deportes,147.83,110.59,110,True
39,Monitor Classic 39,Deportes,218.21,134.17,176,True
40,Monitor Classic 40,Deportes,245.99,166.41,171,True
41,Manual Max 41,Libros,26.7,17.65,96,True
42,Puzzle Mini 42,Libros,35.89,25.08,17,False
43,Silla Ultra 43,Libros,8.34,6.65,93,True
44,Cafetera Mini 44,Hogar,313.88,180.77,148,True
45,Tablet Basic 45,Libros,11.76,7.89,94,True
46,Raqueta Classic 46,Hogar,327.19,258.4,99,True
47,Balon Classic 47,Electronica,74.79,47.64,471,True
48,Cafetera Mini 48,Alimentacion,31.69,23.3,108,True
49,Tablet Eco 49,Hogar,148.55,116.21,410,True
50,Silla Max 50,Electronica,1000.99,610.76,286,True
