venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,descuento,total,canal
1,2893,1812,2025-08-04,2,977.23,0.2,1563.57,web
2,1187,1563,2025-09-03,3,1083.68,0.0,3251.04,app
3,1053,1184,2025-11-02,2,134.73,0.0,269.46,web
4,86,1822,2024-03-29,2,460.57,0.1,829.03,web
5,9774,1822,2022-10-11,1,460.57,0.0,460.57,web
6,6472,708,2023-10-04,3,63.96,0.05,182.29,app
7,3167,1606,2024-11-30,2,344.22,0.0,688.44,web
8,5727,1670,2025-02-10,5,72.89,0.0,364.45,web
9,6115,687,2025-06-01,1,30.24,0.0,30.24,web
10,1805,1808,2025-08-10,1,65.54,0.0,65.54,web
11,2865,1297,2024-03-26,1,592.68,0.0,592.68,web
12,5423,1292,2025-06-15,2,1.54,0.0,3.08,app
13,8366,1,2022-06-14,1,110.92,0.0,110.92,app
14,1269,122,2025-10-06,3,308.66,0.0,925.98,web
15,8556,234,2024-01-19,3,118.15,0.0,354.45,web
16,6013,626,2025-05-11,3,236.61,0.1,638.85,web
17,4867,1287,2024-01-05,5,449.46,0.0,2247.3,web
18,1409,580,2025-03-31,1,226.97,0.0,226.97,tienda
19,5449,900,2025-02-13,3,57.08,0.0,171.24,tienda
20,3510,453,2024-02-14,4,171.26,0.0,685.04,tienda
21,1862,1432,2024-11-22,3,1030.95,0.0,3092.85,app
22,8778,1555,2025-08-21,1,18.76,0.0,18.76,app
23,4575,1767,2024-07-30,1,52.78,0.05,50.14,web
24,800,908,2024-07-09,3,186.37,0.2,447.29,web
25,2986,1210,2024-08-11,5,16.08,0.0,80.4,app
26,1787,1162,2023-07-10,1,51.79,0.2,41.43,web
27,9379,442,2024-09-06,2,58.03,0.0,116.06,app
28,2394,1367,2024-12-24,4,488.48,0.0,1953.92,web
29,5025,397,2022-12-15,2,34.9,0.05,66.31,web
30,7390,1028,2025-05-27,1,17.94,0.1,16.15,web
31,1556,16,2025-07-30,3,51.1,0.0,153.3,app
32,4364,1427,2024-03-04,1,115.19,0.05,109.43,tienda
33,6457,644,2025-03-10,1,4.37,0.0,4.37,tienda
34,8798,355,2025-04-16,4,98.05,0.1,352.98,web
35,6463,475,2024-08-24,1,69.09,0.05,65.64,app
36,802,438,2023-03-26,1,57.52,0.3,40.26,tienda
37,3170,1923,2025-04-10,5,168.92,0.1,760.14,app
38,3482,131,2024-03-15,1,13.55,0.0,13.55,app
39,3861,1743,2025-07-13,3,349.11,0.1,942.6,tienda
40,9406,1620,2024-05-19,1,19.29,0.1,17.36,web
41,359,1487,2024-09-04,1,241.9,0.0,241.9,tienda
42,2986,1060,2023-01-25,3,48.52,0.0,145.56,web
43,4897,1719,2024-01-12,1,398.53,0.0,398.53,app
44,860,293,2025-03-22,1,184.89,0.1,166.4,web
45,4819,774,2025-12-30,3,23.36,0.0,70.08,web
46,1052,1856,2024-07-08,5,585.99,0.1,2636.96,tienda
47,8348,456,2023-06-24,2,33.19,0.0,66.38,web
48,2675,1807,2025-06-06,1,31.53,0.2,25.22,web
49,5188,1578,2025-12-09,2,13.24,0.0,26.48,web
50,6107,1330,2024-12-10,2,120.54,0.0,241.08,web
51,3022,526,2025-02-20,3,13.33,0.2,31.99,web
52,3487,1237,2025-03-09,1,295.0,0.0,295.0,web
53,5063,1936,2023-08-06,1,1180.34,0.0,1180.34,app
54,8021,1373,2024-04-23,1,10.14,0.0,10.14,web
55,4504,1843,2025-12-05,1,26.94,0.0,26.94,telefono
56,4878,971,2023-09-14,1,63.77,0.0,63.77,telefono
57,5885,702,2025-05-23,3,396.73,0.0,1190.19,web
58,4240,1585,2024-10-19,3,22.59,0.0,67.77,tienda
59,7192,1035,2025-08-17,3,25.09,0.2,60.22,telefono
60,49,1531,2025-01-26,1,91.37,0.1,82.23,telefono
61,4812,1041,2025-12-08,1,77.96,0.0,77.96,app
62,9218,186,2025-05-10,1,146.5,0.0,146.5,tienda
63,6086,1206,2024-01-28,1,50.54,0.0,50.54,telefono
64,4842,1939,2023-05-02,3,18.39,0.0,55.17,web
65,7666,1080,2024-04-09,1,23.1,0.05,21.94,web
66,3913,944,2025-09-25,3,21.48,0.2,51.55,app
67,4639,1538,2024-11-11,1,1426.41,0.0,1426.41,app
68,1927,27,2025-12-23,1,1237.94,0.3,866.56,web
69,1223,703,2024-06-14,2,17.89,0.0,35.78,app
70,252,750,2024-12-26,3,342.41,0.1,924.51,app
71,7252,1883,2023-10-08,3,71.32,0.0,213.96,tienda
72,4651,1704,2025-10-04,5,52.49,0.05,249.33,app
73,9380,187,2025-04-25,2,169.32,0.05,321.71,tienda
74,1743,861,2023-09-08,10,79.42,0.0,794.2,app
75,2401,801,2025-06-07,1,20.05,0.05,19.05,app
76,6319,1035,2024-06-22,1,25.09,0.05,23.84,telefono
77,549,1648,2025-09-11,1,46.13,0.1,41.52,web
78,4995,1102,2025-01-04,3,26.49,0.0,79.47,web
79,1216,134,2025-08-14,1,129.5,0.1,116.55,tienda
80,1585,731,2023-05-16,1,77.07,0.0,77.07,app
81,5080,475,2025-01-28,2,69.09,0.05,131.27,web
82,5632,1427,2024-04-29,1,115.19,0.0,115.19,web
83,2087,724,2025-03-19,1,184.6,0.0,184.6,web
84,2686,384,2024-10-22,1,224.75,0.0,224.75,web
85,2811,1783,2024-06-21,1,517.88,0.1,466.09,tienda
86,1387,1711,2025-09-29,1,33.34,0.0,33.34,app
87,9646,161,2024-12-16,10,870.45,0.0,8704.5,tienda
88,6849,1235,2025-06-24,1,366.23,0.0,366.23,app
89,1092,375,2025-10-18,3,13.55,0.0,40.65,web
90,3542,1402,2025-10-22,2,173.2,0.0,346.4,web
91,1699,1581,2024-07-04,2,20.6,0.0,41.2,tienda
92,2308,366,2025-05-10,1,26.3,0.0,26.3,web
93,9383,1957,2023-03-27,10,52.31,0.0,523.1,web
94,1333,1988,2025-04-14,1,26.52,0.0,26.52,tienda
95,8776,1514,2025-06-27,5,1423.12,0.05,6759.82,telefono
96,8385,1683,2023-12-07,3,22.66,0.05,64.58,app
97,7370,300,2024-11-22,1,146.12,0.0,146.12,telefono
98,4933,1871,2025-01-29,1,107.84,0.1,97.06,telefono
99,2557,269,2025-01-15,4,99.81,0.0,399.24,tienda
100,8277,1241,2025-07-30,3,56.17,0.0,168.51,web
101,8309,184,2025-01-17,2,39.25,0.0,78.5,app
102,5211,231,2025-02-17,2,79.03,0.0,158.06,app
103,478,1214,2025-12-01,2,291.99,0.0,583.98,web
104,1904,773,2024-09-27,1,1473.41,0.0,1473.41,web
105,562,948,2025-07-07,3,68.78,0.0,206.34,web
106,1771,1429,2022-08-05,2,425.07,0.0,850.14,web
107,5047,1488,2024-12-02,1,801.12,0.2,640.9,app
108,8519,1532,2025-05-12,1,129.39,0.0,129.39,app
109,6456,1114,2024-01-27,2,976.33,0.0,1952.66,app
110,5939,1199,2024-09-22,3,245.33,0.0,735.99,app
111,7414,535,2025-08-09,2,593.34,0.1,1068.01,telefono
112,6331,2,2025-08-28,2,57.55,0.0,115.1,web
113,4422,464,2024-10-06,1,161.62,0.0,161.62,web
114,8121,488,2024-11-12,2,33.88,0.0,67.76,web
115,3063,1633,2025-01-21,5,136.88,0.2,547.52,web
116,9271,980,2025-03-26,4,118.3,0.0,473.2,app
117,1140,333,2022-09-17,1,310.43,0.1,279.39,web
118,6309,1216,2025-12-05,10,16.63,0.1,149.67,web
119,4964,1122,2024-06-30,10,81.3,0.2,650.4,web
120,4244,401,2025-02-08,1,74.7,0.0,74.7,web
121,4292,1999,2024-05-20,5,46.97,0.1,211.36,app
122,422,1587,2025-05-18,4,43.45,0.0,173.8,app
123,7450,466,2023-04-23,1,1115.44,0.0,1115.44,web
124,3497,455,2022-03-17,1,32.96,0.0,32.96,web
125,4741,981,2023-10-10,1,8.99,0.2,7.19,app
